romance,new_character,character_development,magic_kaito,english_airdate,next_conans_hint,original_airdate,episode_title,japanese_episode_number,characters_pasts,black_organization,manga_source,fbi,english_episode_number
yes,yes,yes,no,"May 24, 2004",N/A,"January 8, 1996",Roller Coaster Murder Case,1,yes,yes,V1 ~ F1,no,1
yes,yes,yes,no,"May 25, 2004",Skyscraper,"January 15, 1996",Company President's Daughter Kidnapping Case,2,no,no,V1 - F2~5,no,2
no,yes,yes,no,"May 26, 2004",Ice,"January 22, 1996",An Idol's Locked Room Murder Case,3,no,no,V1 - F6~9,no,3
yes,no,yes,no,"May 27, 2004",Neon sign,"January 29, 1996",The Coded Map of the City Case,4,no,no,V4 - F7~10,no,4
no,no,yes,no,"May 31, 2004",Cell phone,"February 5, 1996",The Shinkansen's Bomb Case,5,no,no,V4 - F4~6,no,5
yes,yes,yes,no,"June 1, 2004",Chocolate,"February 12, 1996",Valentine Murder Case,6,no,no,TV Original,no,6
no,no,yes,no,"June 2, 2004",Bar code,"February 19, 1996",Once-A-Month Present Threat Case,7,no,no,V3 - F7~10,no,7
no,yes,no,no,"June 3, 2004",Ball-point pen,"February 26, 1996",Art Museum Owner Murder Case,8,no,no,V4 - F1~3,no,8
no,yes,no,no,"June 7, 2004",Disposable camera,"March 4, 1996",Tenkaichi Night Festival Murder Case,9,no,no,V6 - F9,no,9
yes,yes,yes,no,"June 8, 2004",Video game,"March 11, 1996",Pro Soccer Player Blackmail Case,10,no,no,V7 - F8,no,10
no,no,no,no,"June 10, 2004",Sheet music,"April 8, 1996",Moonlight Sonata Murder Case (1 Hour Special),11,no,no,V7 - F2~7,no,11-12
no,no,yes,no,"June 14, 2004",School festival,"April 15, 1996",Ayumi-chan Kidnapping Case,12,no,no,V9 - F1~3,no,13
no,yes,yes,no,"June 15, 2004","1,000,000,000","April 22, 1996",The Strange Person Hunt Murder Case,13,no,no,V2 - F4~7,no,14
no,no,no,no,"June 16, 2004",Calculator,"April 29, 1996",The Mysterious Shooting Message Case,14,no,no,TV Original,no,15
no,no,no,no,"June 17, 2004",Answering machine,"May 13, 1996",Missing Corpse Murder Case,15,no,no,V6 - F6~8,no,16
no,no,no,no,"June 21, 2004",Drawer marks,"May 20, 1996",The Antique Collector Murder Case,16,no,no,V6 - F2~5,no,17
no,no,no,no,"June 22, 2004",Elevator girl,"May 27, 1996",Hijacked Department Store Case,17,no,no,TV Original,no,18
no,yes,no,no,"June 23, 2004",Medicine capsule,"June 3, 1996",A June Bride Murder Case,18,no,no,V8 - F8~10,no,19
no,no,no,no,"June 24, 2004",Bouquet,"June 10, 1996",An Elevator Murder Case,19,no,no,TV Original,no,20
no,no,yes,no,"June 28, 2004",Creepy basement,"June 17, 1996",A Haunted Mansion Murder Case,20,no,no,V2 - F8~10,no,21
no,yes,no,no,"June 29, 2004",Fu dog,"June 24, 1996","On Location, TV Drama Murder Case",21,no,no,TV Original,no,22
no,yes,no,no,"June 30, 2004",Bread crumb,"July 1, 1996",Luxury Liner Serial Murder Case (Part 1),22,no,no,V3 - F1~6,no,23
no,no,no,no,"July 1, 2004",Sketch book,"July 8, 1996",Luxury Liner Serial Murder Case (Part 2),23,no,no,V3 - F1~6,no,24
no,no,no,no,"July 5, 2004",Pendant,"July 15, 1996",The Mysterious Woman With Amnesia Case,24,no,no,TV Original,no,25
no,no,no,no,"July 6, 2004",Scuba gear,"July 22, 1996",The False Kidnapping and Hostage Case,25,no,no,TV Original,no,26
no,no,no,no,"July 7, 2004",Conditioned response,"July 29, 1996",Pet Dog John Murder Case,26,no,no,TV Original,no,27
no,yes,yes,no,"July 8, 2004",Gun,"August 5, 1996",Kogoro's Class Reunion Murder Case (Part 1),27,no,no,V9 - F4~6,no,28
no,no,yes,no,"July 12, 2004",Benkei,"August 12, 1996",Kogoro's Class Reunion Murder Case (Part 2),28,no,no,V9 - F4~6,no,29
no,no,no,no,"July 13, 2004",Cat,"August 19, 1996",Computer Murder Case,29,no,no,TV Original,no,30
no,no,no,no,"July 14, 2004",Cassette tape,"August 26, 1996",Alibi Testimony Murder Case,30,no,no,TV Original,no,31
no,no,no,no,"July 15, 2004",Window,"September 2, 1996",TV Station Murder Case,31,no,no,V11 - F2~4,no,32
no,yes,no,no,"July 19, 2004",Bathroom door,"September 9, 1996",Coffee Shop Murder Case,32,no,no,V11 - F5~7,no,33
no,no,yes,no,"July 20, 2004",Treasure map,"October 14, 1996",Detective Boys Survival Case,33,no,no,TV Original,no,34
no,yes,no,no,"July 21, 2004",Peeping,"October 21, 1996",Mountain Villa Bandaged Man Murder Case (Part 1),34,no,no,V5 - F1~5,no,35
no,no,no,no,"July 22, 2004",Piano wire,"October 28, 1996",Mountain Villa Bandaged Man Murder Case (Part 2),35,no,no,V5 - F1~5,no,36
no,no,no,no,"July 26, 2004",Curtain,"November 4, 1996",Monday Night 7:30 p.m. Murder Case,36,no,no,TV Original,no,37
no,no,no,no,"July 27, 2004",Portrait,"November 11, 1996",Cactus's Flower Murder Case,37,no,no,TV Original,no,38
no,no,no,no,"July 28, 2004",Left-handedness,"November 18, 1996",Akaoni Village Fire Festival Murder Case,38,no,no,V2 - F1~3,no,39
no,yes,no,no,"July 29, 2004",A blackout,"November 25, 1996",Wealthy Daughter Murder Case (Part 1),39,no,no,V9 - F7,no,40
yes,no,no,no,"August 2, 2004",Shirt stains,"December 2, 1996",Wealthy Daughter Murder Case (Part 2),40,no,no,V9 - F7,no,41
no,no,no,no,"August 3, 2004",Cutting style,"December 9, 1996",Victory Flag Tearing Case,41,no,no,TV Original,no,42
yes,no,no,no,"August 4, 2004",Red nose reindeer,"December 16, 1996",Karaoke Box Murder Case,42,no,no,V5 - F6~9,no,43
no,yes,no,no,"August 5, 2004",The Night Baron,"January 13, 1997",Conan Edogawa Kidnapping Case,43,no,no,V5 - F10,no,44
no,no,no,no,"August 9, 2004",Chemical fertilizer,"January 20, 1997",Three Hotta Siblings Murder Case,44,no,no,TV Original,no,45
no,no,no,no,"August 10, 2004",Lipstick,"January 27, 1997",Facial Mask Murder Case,45,no,no,TV Original,no,46
no,no,no,no,"August 11, 2004",Shogi,"February 3, 1997",Alpine Hut in the Snowy Mountain Murder Case,46,no,no,V10 - F9,no,47
no,no,no,no,,Cap,"February 10, 1997",Sports Club Murder Case,47,no,no,TV Original,no,48
no,yes,no,no,"August 12, 2004","A needle, a string, and a key holder","February 17, 1997",Diplomat Murder Case (Part 1),48,no,no,V10 - F2~6,no,49
no,no,yes,no,"August 16, 2004",Opera CD and books,"February 24, 1997",Diplomat Murder Case (Part 2),49,no,no,V10 - F2~6,no,50
no,no,yes,no,,Hardcover books,"March 3, 1997",Library Murder Case,50,no,no,V10 - F6~8,no,51
no,no,no,no,,Golf set,"March 10, 1997",The Golf Driving Range Murder Case,51,no,no,TV Original,no,52
no,no,yes,no,,Cherry blossom,"March 17, 1997",The Mist Goblin Legend Murder Case (1 Hour Special),52,no,no,V11 - F8~10,no,53-54
no,no,no,no,,Songbird,"April 7, 1997",The Mystery Weapon Murder Case,53,no,no,TV Original,no,55
no,yes,no,no,,Numbered cloakroom tokens,"April 14, 1997",Game Company Murder Case,54,no,yes,V12 - F4~6,no,56
no,no,no,no,,On-board vending,"April 21, 1997",The Train Trick Murder Case,55,no,no,TV Original,no,57
no,no,no,no,,Surveillance camera,"April 28, 1997",The Ojamanbou Murder Case,56,no,no,TV Original,no,58
no,no,no,no,,Blanket,"May 5, 1997",Holmes Freak Murder Case (Part 1),57,no,no,V12 - F7,no,59
no,no,yes,no,,The Holmes test,"May 12, 1997",Holmes Freak Murder Case (Part 2),58,no,no,V12 - F7,no,60
no,no,no,no,,Roadside corner mirror,"May 19, 1997",The First Errand Murder Case,59,no,no,TV Original,no,61
no,no,no,no,,Contact lens set,"May 26, 1997",An Illustrator Murder Case,60,no,no,V13 - F5~7,no,62
no,no,no,no,,Telescope,"June 2, 1997",A Ghost Ship Murder Case (Part 1),61,no,no,TV Original,no,63
